Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2912,2265,647
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,1236,702,534
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,433,433,0
Acauã,220005,PI,Nordeste,JANSSEN,141,0,0
Agricolândia,220010,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1701,1365,336
Agricolândia,220010,PI,Nordeste,BUTANTAN/SINOVAC,1328,734,594
Agricolândia,220010,PI,Nordeste,PFIZER/BIONTECH,274,274,0
Agricolândia,220010,PI,Nordeste,JANSSEN,76,0,0
Água Branca,220020,PI,Nordeste,FIOCRUZ/ASTRAZENECA,6090,5143,947
Água Branca,220020,PI,Nordeste,BUTANTAN/SINOVAC,4427,2372,2055
Água Branca,220020,PI,Nordeste,PFIZER/BIONTECH,1170,1168,2
Água Branca,220020,PI,Nordeste,JANSSEN,308,0,0
Alagoinha Do Piauí,220025,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2426,2023,403
Alagoinha Do Piauí,220025,PI,Nordeste,BUTANTAN/SINOVAC,1566,827,739
Alagoinha Do Piauí,220025,PI,Nordeste,PFIZER/BIONTECH,371,370,1
Alagoinha Do Piauí,220025,PI,Nordeste,JANSSEN,128,0,0
Alegrete Do Piauí,220027,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1507,1197,310
Alegrete Do Piauí,220027,PI,Nordeste,BUTANTAN/SINOVAC,1021,552,469
Alegrete Do Piauí,220027,PI,Nordeste,PFIZER/BIONTECH,294,294,0
Alegrete Do Piauí,220027,PI,Nordeste,JANSSEN,80,0,0
Alto Longá,220030,PI,Nordeste,FIOCRUZ/ASTRAZENECA,4394,3181,1213
Alto Longá,220030,PI,Nordeste,BUTANTAN/SINOVAC,2873,1459,1414
Alto Longá,220030,PI,Nordeste,PFIZER/BIONTECH,624,624,0
Alto Longá,220030,PI,Nordeste,JANSSEN,161,0,0
Altos,220040,PI,Nordeste,FIOCRUZ/ASTRAZENECA,12007,9943,2064
Altos,220040,PI,Nordeste,BUTANTAN/SINOVAC,7239,3965,3274
Altos,220040,PI,Nordeste,PFIZER/BIONTECH,1308,1308,0
Altos,220040,PI,Nordeste,JANSSEN,573,0,0
Alvorada Do Gurguéia,220045,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1894,1761,133
Alvorada Do Gurguéia,220045,PI,Nordeste,BUTANTAN/SINOVAC,1150,667,483
Alvorada Do Gurguéia,220045,PI,Nordeste,PFIZER/BIONTECH,294,294,0
Alvorada Do Gurguéia,220045,PI,Nordeste,JANSSEN,100,0,0
Amarante,220050,PI,Nordeste,FIOCRUZ/ASTRAZENECA,7557,6453,1104
Amarante,220050,PI,Nordeste,BUTANTAN/SINOVAC,4976,2503,2473
Amarante,220050,PI,Nordeste,PFIZER/BIONTECH,1113,1105,8
Amarante,220050,PI,Nordeste,JANSSEN,293,0,0
Angical Do Piauí,220060,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2639,2031,608
Angical Do Piauí,220060,PI,Nordeste,BUTANTAN/SINOVAC,1648,899,749
Angical Do Piauí,220060,PI,Nordeste,PFIZER/BIONTECH,384,384,0
Angical Do Piauí,220060,PI,Nordeste,JANSSEN,97,0,0
Anísio De Abreu,220070,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2807,2127,680
Anísio De Abreu,220070,PI,Nordeste,BUTANTAN/SINOVAC,1588,815,773
Anísio De Abreu,220070,PI,Nordeste,PFIZER/BIONTECH,438,438,0
Anísio De Abreu,220070,PI,Nordeste,JANSSEN,140,0,0
Antônio Almeida,220080,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1347,971,376
Antônio Almeida,220080,PI,Nordeste,BUTANTAN/SINOVAC,595,338,257
Antônio Almeida,220080,PI,Nordeste,PFIZER/BIONTECH,184,184,0
Antônio Almeida,220080,PI,Nordeste,JANSSEN,59,0,0
Aroazes,220090,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2049,1516,533
Aroazes,220090,PI,Nordeste,BUTANTAN/SINOVAC,1678,860,818
Aroazes,220090,PI,Nordeste,PFIZER/BIONTECH,294,294,0
Aroazes,220090,PI,Nordeste,JANSSEN,90,0,0
Aroeiras Do Itaim,220095,PI,Nordeste,FIOCRUZ/ASTRAZENECA,898,637,261
Aroeiras Do Itaim,220095,PI,Nordeste,BUTANTAN/SINOVAC,640,337,303
Aroeiras Do Itaim,220095,PI,Nordeste,JANSSEN,36,0,0
Aroeiras Do Itaim,220095,PI,Nordeste,PFIZER/BIONTECH,25,25,0
Arraial,220100,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1741,1219,522
Arraial,220100,PI,Nordeste,BUTANTAN/SINOVAC,1007,515,492
Arraial,220100,PI,Nordeste,PFIZER/BIONTECH,235,235,0
Arraial,220100,PI,Nordeste,JANSSEN,65,0,0
Assunção Do Piauí,220105,PI,Nordeste,FIOCRUZ/ASTRAZENECA,2656,1878,778
Assunção Do Piauí,220105,PI,Nordeste,BUTANTAN/SINOVAC,1442,746,696
Assunção Do Piauí,220105,PI,Nordeste,PFIZER/BIONTECH,399,399,0
Assunção Do Piauí,220105,PI,Nordeste,JANSSEN,134,0,0
Avelino Lopes,220110,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3332,2936,396
Avelino Lopes,220110,PI,Nordeste,BUTANTAN/SINOVAC,2307,1263,1044
Avelino Lopes,220110,PI,Nordeste,PFIZER/BIONTECH,569,569,0
Avelino Lopes,220110,PI,Nordeste,JANSSEN,197,0,0
Baixa Grande Do Ribeiro,220115,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3446,3036,410
Baixa Grande Do Ribeiro,220115,PI,Nordeste,BUTANTAN/SINOVAC,1553,976,577
Baixa Grande Do Ribeiro,220115,PI,Nordeste,PFIZER/BIONTECH,661,643,18
Baixa Grande Do Ribeiro,220115,PI,Nordeste,JANSSEN,213,0,0
Barra D'Alcântara,220117,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1205,965,240
Barra D'Alcântara,220117,PI,Nordeste,BUTANTAN/SINOVAC,908,475,433
Barra D'Alcântara,220117,PI,Nordeste,PFIZER/BIONTECH,241,241,0
Barra D'Alcântara,220117,PI,Nordeste,JANSSEN,70,0,0
Barras,220120,PI,Nordeste,FIOCRUZ/ASTRAZENECA,11557,9601,1956
Barras,220120,PI,Nordeste,BUTANTAN/SINOVAC,7581,4158,3423
Barras,220120,PI,Nordeste,PFIZER/BIONTECH,1939,1938,1
Barras,220120,PI,Nordeste,JANSSEN,557,0,0
Barreiras Do Piauí,220130,PI,Nordeste,FIOCRUZ/ASTRAZENECA,815,684,131
Barreiras Do Piauí,220130,PI,Nordeste,BUTANTAN/SINOVAC,550,304,246
Barreiras Do Piauí,220130,PI,Nordeste,PFIZER/BIONTECH,214,214,0
Barreiras Do Piauí,220130,PI,Nordeste,JANSSEN,64,0,0
