codarea,municipio,total_doses,doses_aplicadas,porcentagem
2200053,Acauã,5062,4897,96.7
2200103,Agricolândia,4225,3589,84.9
2200202,Água Branca,12229,12195,99.7
2200251,Alagoinha do Piauí,5162,4596,89.0
2200277,Alegrete do Piauí,3243,2992,92.3
2200301,Alto Longá,8991,8383,93.2
2200400,Altos,24114,21832,90.5
2200459,Alvorada do Gurguéia,3333,3438,100
2200509,Amarante,14236,14334,100
2200608,Angical do Piauí,5569,4911,88.2
2200707,Anísio de Abreu,5203,5092,97.9
2200806,Antônio Almeida,2295,2262,98.6
2200905,Aroazes,4606,4280,92.9
2200954,Aroeiras do Itaim,1763,1599,90.7
2201002,Arraial,3004,3227,100
2201051,Assunção do Piauí,5303,4786,90.3
2201101,Avelino Lopes,7488,6517,87.0
2201150,Baixa Grande do Ribeiro,6364,5901,92.7
2201176,Barra D'Alcântara,2698,2578,95.6
2201200,Barras,26241,21949,83.6
2201309,Barreiras do Piauí,2181,1726,79.1
2201408,Barro Duro,4754,4032,84.8
2201507,Batalha,16234,12014,74.0
2201556,Bela Vista do Piauí,2713,2481,91.4
2201572,Belém do Piauí,2250,2228,99.0
2201606,Beneditinos,6801,6085,89.5
2201705,Bertolínia,3687,3660,99.3
2201739,Betânia do Piauí,4529,3983,87.9
2201770,Boa Hora,4104,3100,75.5
2201804,Bocaina,3394,3326,98.0
2201903,Bom Jesus,15682,14676,93.6
2201919,Bom Princípio do Piauí,3389,3131,92.4
2201929,Bonfim do Piauí,3293,3166,96.1
2201945,Boqueirão do Piauí,4351,3624,83.3
2201960,Brasileira,5265,4639,88.1
2201988,Brejo do Piauí,2446,2037,83.3
2202000,Buriti dos Lopes,12597,11213,89.0
2202026,Buriti dos Montes,5428,4612,85.0
2202059,Cabeceiras do Piauí,6726,5501,81.8
2202075,Cajazeiras do Piauí,2445,2294,93.8
2202083,Cajueiro da Praia,4185,3027,72.3
2202091,Caldeirão Grande do Piauí,3379,3070,90.9
2202109,Campinas do Piauí,6130,4802,78.3
2202117,Campo Alegre do Fidalgo,3252,3282,100
2202133,Campo Grande do Piauí,3751,3182,84.8
2202174,Campo Largo do Piauí,4826,4885,100
2202208,Campo Maior,34640,29977,86.5
2202251,Canavieira,2544,1935,76.1
2202307,Canto do Buriti,14487,10594,73.1
2202406,Capitão de Campos,7458,6978,93.6
2202455,Capitão Gervásio Oliveira,2713,2548,93.9
2202505,Caracol,6205,5942,95.8
2202539,Caraúbas do Piauí,3272,2744,83.9
2202554,Caridade do Piauí,3381,3045,90.1
2202604,Castelo do Piauí,12924,12027,93.1
2202653,Caxingó,2768,2226,80.4
2202703,Cocal,15054,11597,77.0
2202711,Cocal de Telha,3536,3028,85.6
2202729,Cocal dos Alves,3661,3815,100
2202737,Coivaras,2875,2426,84.4
2202752,Colônia do Gurguéia,3956,3715,93.9
2202778,Colônia do Piauí,7100,5854,82.5
2202802,Conceição do Canindé,3368,2960,87.9
2202851,Coronel José Dias,2808,2643,94.1
2202901,Corrente,15429,13783,89.3
2203008,Cristalândia do Piauí,5575,4881,87.6
2203107,Cristino Castro,6545,6012,91.9
2203206,Curimatá,7460,7291,97.7
2203230,Currais,3546,3390,95.6
2203271,Curral Novo do Piauí,3320,2252,67.8
2203255,Curralinhos,2886,2662,92.2
2203305,Demerval Lobão,8863,7159,80.8
2203354,Dirceu Arcoverde,4369,4187,95.8
2203404,Dom Expedito Lopes,4160,4074,97.9
2203453,Dom Inocêncio,7896,7409,93.8
2203420,Domingos Mourão,2832,2431,85.8
2203503,Elesbão Veloso,10227,8700,85.1
2203602,Eliseu Martins,3297,2810,85.2
2203701,Esperantina,27491,22489,81.8
2203750,Fartura do Piauí,4706,4817,100
2203800,Flores do Piauí,2805,2554,91.1
2203859,Floresta do Piauí,2078,2066,99.4
2203909,Floriano,40504,39559,97.7
2204006,Francinópolis,3933,3269,83.1
2204105,Francisco Ayres,3273,3559,100
2204154,Francisco Macedo,1781,1698,95.3
2204204,Francisco Santos,5496,5221,95.0
2204303,Fronteiras,7623,7855,100
2204352,Geminiano,3023,2790,92.3
2204402,Gilbués,7151,6423,89.8
2204501,Guadalupe,6209,5941,95.7
2204550,Guaribas,2285,2253,98.6
2204600,Hugo Napoleão,2931,2894,98.7
2204659,Ilha Grande,4919,4900,99.6
2204709,Inhuma,10244,8879,86.7
2204808,Ipiranga do Piauí,6410,5955,92.9
2204907,Isaías Coelho,7912,6190,78.2
2205003,Itainópolis,7425,6402,86.2
2205102,Itaueira,7185,5966,83.0
2205151,Jacobina do Piauí,4248,4381,100
2205201,Jaicós,12479,11793,94.5
2205250,Jardim do Mulato,3433,2928,85.3
2205276,Jatobá do Piauí,3854,3241,84.1
2205300,Jerumenha,3252,3198,98.3
2205359,João Costa,2021,2097,100
2205409,Joaquim Pires,7727,6939,89.8
2205458,Joca Marques,2762,2625,95.0
