Município;Doses Distribuídas às Secretarias Municipais de Saúde;Doses Aplicadas;Relação entre doses distribuídas e doses aplicadas*
Teresina;644718;551653;0.8556500671611464
Parnaíba;94516;77274;0.8175758601718227
Picos;50595;46318;0.9154659551339064
Piripiri;49402;38765;0.784684830573661
Floriano;40504;38972;0.9621765751530713
Campo Maior;34640;29757;0.8590357967667437
União;28218;24239;0.8589907151463605
São Raimundo Nonato;27760;25008;0.9008645533141211
Esperantina;27491;21954;0.7985886290058565
Pedro Ii;26861;23656;0.8806820297084993
Oeiras;26633;24020;0.9018886344009313
Barras;26241;21904;0.8347242864220114
José De Freitas;24548;19899;0.8106159361251427
Altos;24114;21628;0.8969063614497802
Piracuruca;19215;15212;0.7916731720010408
Miguel Alves;17783;16778;0.9434853511780914
Valença Do Piauí;16499;15696;0.9513303836596158
Batalha;16234;11698;0.7205864235555008
São João Do Piauí;15865;15134;0.9539237314843996
Bom Jesus;15682;14430;0.9201632444841219
Corrente;15429;13732;0.8900123144727461
Luís Correia;15333;13133;0.8565186199699993
Cocal;15054;11597;0.7703600371994154
Luzilândia;14601;12646;0.8661050612971715
Canto Do Buriti;14487;10181;0.7027679988955615
Paulistana;14428;12368;0.8572220682007208
Amarante;14236;14334;1.006883956167463
Uruçuí;13218;10764;0.814344076259646
Castelo Do Piauí;12924;11848;0.9167440420922314
Buriti Dos Lopes;12597;10859;0.8620306422164007
Jaicós;12479;11514;0.92267008574405
Água Branca;12229;12103;0.9896966227819118
São Miguel Do Tapuio;12121;10577;0.8726177708109892
Regeneração;11956;9442;0.789729006356641
Inhuma;10244;8800;0.8590394377196408
Elesbão Veloso;10227;8700;0.8506893517160459
Pio Ix;10083;10047;0.9964296340374889
Simões;9523;8401;0.8821799852987504
Simplício Mendes;9313;9259;0.9942016536024911
Alto Longá;8991;8383;0.9323768212657102
São Pedro Do Piauí;8900;7861;0.8832584269662921
Demerval Lobão;8863;7159;0.8077400428748731
Isaías Coelho;7912;6150;0.7773003033367037
Dom Inocêncio;7896;7363;0.9324974670719351
Pimenteiras;7816;6866;0.8784544524053224
Palmeirais;7810;6804;0.871190781049936
Joaquim Pires;7727;6871;0.8892196195159829
Fronteiras;7623;7821;1.025974025974026
Avelino Lopes;7488;6517;0.8703258547008547
Curimatá;7460;7134;0.9563002680965147
Capitão De Campos;7458;6978;0.9356395816572808
Itainópolis;7425;6396;0.8614141414141414
Porto;7220;6485;0.8981994459833795
Itaueira;7185;5966;0.8303409881697982
Gilbués;7151;6289;0.8794574185428612
Colônia Do Piauí;7100;5710;0.8042253521126761
Sigefredo Pacheco;6828;5801;0.8495899238429995
Beneditinos;6801;6072;0.8928098808998677
Cabeceiras Do Piauí;6726;5501;0.8178709485578353
Parnaguá;6638;5390;0.8119915637240133
Monsenhor Gil;6613;6209;0.9389082110993497
Cristino Castro;6545;5926;0.905423987776929
Queimada Nova;6470;5844;0.9032457496136013
Monte Alegre Do Piauí;6421;6025;0.9383273633390438
Ipiranga Do Piauí;6410;5906;0.9213728549141965
Baixa Grande Do Ribeiro;6364;5901;0.9272470144563169
Guadalupe;6209;5904;0.9508777580930907
Caracol;6205;5914;0.953102336825141
Campinas Do Piauí;6130;4802;0.7833605220228383
Matias Olímpio;5731;5098;0.8895480718897225
Nazaré Do Piauí;5626;5248;0.9328119445431923
Cristalândia Do Piauí;5575;4880;0.8753363228699551
Angical Do Piauí;5569;4865;0.8735859220685939
Monsenhor Hipólito;5559;5230;0.940816693649937
Francisco Santos;5496;5191;0.9445050946142649
Buriti Dos Montes;5428;4570;0.841930729550479
Redenção Do Gurguéia;5305;4094;0.7717247879359095
